index,itemname_fr,itemname,imgsrc
37,Masque de Keaton,Keaton Mask,./oot/Keaton_Mask.png
38,Masque de Crâne,Skull Mask,./oot/Skull_Mask.png
39,Masque Hanté,Spooky Mask,./oot/Spooky_Mask.png
40,Capuche de Lapin,Bunny Hood,./oot/Bunny_Hood.png
41,Masque de Vérité,Mask of Truth,./oot/Mask_of_Truth.png
42,Masque Goron,Goron Mask,./oot/Goron_Mask.png
43,Masque Zora,Zora Mask,./oot/Zora_Mask.png
44,Masque Gerudo,Gerudo Mask,./oot/Gerudo_Mask.png
45,Œuf de Poche,Pocket Egg,./oot/Pocket_Egg.png
46,Cocotte de Poche,Pocket Cucco,./oot/Pocket_Cucco.png
47,Cojiro,Cojiro,./oot/Cojiro.png
48,Champignon Suspect,Odd Mushroom,./oot/Odd_Mushroom.png
49,Potion Suspecte,Odd Potion,./oot/Odd_Potion.png
50,Scie du Braconnier,Poacher's Saw,./oot/Poacher_s_Saw.png
51,Épée Goron Cassée,Broken Goron's Sword,./oot/Broken_Goron_s_Sword.png
52,Ordonnance,Prescription,./oot/Prescription.png
53,Grenouille Oculaire,Eyeball Frog,./oot/Eyeball_Frog.png
54,Gouttes Oculaires Suprêmes,World's Finest Eye Drops,./oot/World_s_Finest_Eye_Drops.png
55,Gouttes Oculaires de Biggoron,Biggoron's Eye Drops,./oot/Biggoron_s_Eye_Drops.png
56,Reçu,Claim Check,./oot/Claim_Check.png
57,Épée Kokiri,Kokiri Sword,./oot/Kokiri_Sword.png
58,Épée de Légende,Master Sword,./oot/Master_Sword.png
59,Épée de Biggoron,Biggoron's Sword,./oot/Biggoron_s_Sword.png
60,Bouclier Mojo,Deku Shield,./oot/Deku_Shield.png
61,Bouclier Hylien,Hylian Shield,./oot/Hylian_Shield.png
62,Bouclier Miroir,Mirror Shield,./oot/Mirror_Shield.png
63,Tunique Kokiri,Kokiri Tunic,./oot/Kokiri_Tunic.png
64,Tunique Goron,Goron Tunic,./oot/Goron_Tunic.png
65,Tunique Résistante à la Chaleur,Heat-Resistant Tunic,./oot/Heat-Resistant_Tunic.png
66,Tunique Zora,Zora Tunic,./oot/Zora_Tunic.png
67,Pierre Ancestrale de la Forêt,Spiritual Stone of the Forest,./oot/Spiritual_Stone_of_the_Forest.png
68,Émeraude Kokiri,Kokiri's Emerald,./oot/Kokiri_s_Emerald.png
69,Pierre Ancestrale du Feu,Spiritual Stone of Fire,./oot/Spiritual_Stone_of_Fire.png
70,Rubis Goron,Goron's Ruby,./oot/Goron_s_Ruby.png
71,Pierre Rouge,Red Stone,./oot/Red_Stone.png
72,Pierre Ancestrale de l’Eau,Spiritual Stone of Water,./oot/Spiritual_Stone_of_Water.png
73,Bague de Fiançailles Zora,Zora's Engagement Ring,./oot/Zora_s_Engagement_Ring.png
74,Saphir Zora,Zora's Sapphire,./oot/Zora_s_Sapphire.png
75,Médaillon de Lumière,Light Medallion,./oot/Light_Medallion.png
76,Médaillon de la Forêt,Forest Medallion,./oot/Forest_Medallion.png
77,Médaillon du Feu,Fire Medallion,./oot/Fire_Medallion.png
78,Médaillon de l’Eau,Water Medallion,./oot/Water_Medallion.png
79,Médaillon de l’Ombre,Shadow Medallion,./oot/Shadow_Medallion.png
80,Médaillon de l’Esprit,Spirit Medallion,./oot/Spirit_Medallion.png
81,Rubis Bleu,Blue Rupee,./oot/Blue_Rupee.png
82,Carquois de Flèches,Bundle of Arrows,./oot/Bundle_of_Arrows.png
83,Graine Mojo,Deku Seed,./oot/Deku_Seed.png
84,Rubis Vert,Green Rupee,./oot/Green_Rupee.png
85,Rubis Doré,Gold Rupee,./oot/Gold_Rupee.png
86,Rubis Géant,Huge Rupee,./oot/Huge_Rupee.png
87,Cœur,Heart,./oot/Heart.png
88,Cœur de Récupération,Recovery Heart,./oot/Recovery_Heart.png
89,Réceptacle de Cœur,Heart Container,./oot/Heart_Container.png
90,Pot de Magie,Magic Jar,./oot/Magic_Jar.png
91,Rubis Violet,Purple Rupee,./oot/Purple_Rupee.png
92,Rubis Rouge,Red Rupee,./oot/Red_Rupee.png
93,Rubis Argenté,Silver Rupee,./oot/Silver_Rupee.png
94,Joyau Blanc,Jewel of White,./oot/Jewel_of_White.png
