index,name_fr,name_en,image
36,Pièces rouges et pirates,Red Coins of the Pirate Ships,
37,Les tournesols fanés,The Wilted Sunflowers,
38,La grande roue de la discorde,The Runaway Ferris Wheel,
39,Le secret du carrousel des Yoshi,The Yoshi-Go-Round's Secret,
40,Antimario prend du bon temps,Shadow Mario in the Park,
41,Les ballons des montagnes russes,Rollar Coaster Balloons,
42,Les pièces rouges du canon de la plage,The Beach Cannon's Red Coins,
43,Les pièces rouges du carrousel des Yoshi,The Yoshi-Go-Round's Red Coins,
44,100 pièces Parc Pinna,Pinna Park 100 Coin Shine,
45,La tempête de Méga Manta,The Manta Storm,
46,Le secret du hall de l'hôtel,The Hotel Lobby's Secret,
47,Mystérieux hôtel Delfino,Mysterious Hotel Delfino,
48,Le secret du casino,The Secret of Casino Delfino,
49,"Le roi Boo, impair et gagne",King Boo Down Below,
50,Nettoyage de printemps à Sirena,Scrubbing Sirena Beach,
51,L'insaisissable Antimario,Shadow Mario Checks In,
52,Les pièces rouges de l'hôtel,Red Coins in the Hotel,
53,Les pièces rouges du hall de l'hôtel,The Hotel Lobby's Red Coins,
54,Les pièces rouges du casino,The Red Coins of Casino Delfino,
55,100 pièces Plage Sirena,Sirena Beach 100 Coin Shine,
56,Le gardien du bouchon,Uncork the Waterfall,
57,Le boss des ruines piégées,The Boss of Tricky Ruins,
58,Les pièces rouges de la bouteille,Red Coins in a Bottle,
59,La carie d'Anguy,Eely-Mouth's Dentist,
60,La baignade d'Il Piantissimo,Il Piantissimo's Surf Swim,
61,Le secret du coquillage,The Shell's Secret,
62,Antimario crapahute,"Hold it, Shadow Mario!",
63,Le poisson "pièce" rouge,The Red Coin Fish,
64,Les pièces rouges du coquillage,The Shell's Red Coins,
65,Oiseau doré de la Baie Noki,Gold Bird of Noki Bay,
66,100 pièces Baie Noki,Noki Bay 100 Coin Shine,
67,Les Chompis se déchaînent,Chain Chomplets Unchained,
68,Il Piantissimo prend de la hauteur,Il Piantissimo's Crazy Climb,
69,Le sauvetage du maire,The Goopy Inferno,
70,Le bain du Chomp déchaîné,Chain Chomp's Bath,
71,Le secret du monde du dessous,Secret of the Village Underside,
72,Les dix Pianta en danger,Piantas in Need,
73,À la poursuite d'Antimario,Shadow Mario Runs Wild,
74,Les pièces rouges des Pianta,Fluff Festival Coin Hunt,
75,Les pièces rouges du monde du dessous,Red Coins of the Village Underside,
76,Plus brillant que le soleil,Brighter than the Sun,
77,100 pièces Village Pianta,Pianta Village 100 Coin Shine,
78,Soleil du Mont Corona,Corona Mountain Shine,
79,Le trésor de la plage,Beach Treasure,
80,Le toboggan,Slide Mini-Game,
81,Première cloche,First Dirty Bell,
82,Le jeu des caisses (1),Box Smashing 1,
83,Le jeu des caisses (2),Box Smashing 2,
84,Le Pianta lanceur,Chuckster on the Roof,
85,Le mini-jeu du pachinko,Pachinko Mini-Game,
86,Oiseau doré,Gold Bird,
87,Le mini-jeu du nénuphar,Lily Pad Mini-Game,
88,Le turbo à débloquer,Turbo Nozzle Fun,
89,La glissade d'eau,Waterslide Mini-Game,
90,Le bouchon du phare,Lighthouse,
91,Soleil boueux à nettoyer,Cleaning the Shine Gate,
92,Seconde cloche,Cleaning the Second Bell,
93,Les pièces rouges des hautes herbes,Tall Grass Mini-Game,
94,100 pièces Place Delfino,Delfino Plaza 100 Coin Shine,
95,Soleil d'introduction de l'Aéroport Delfino,Delfino Airstrip Shine Introduction,
96,Pièces rouges de l'Aéroport Delfino,Delfino Airstrip Shine Red Coins,
97,Colline Bianco Pièces Bleues 1-10,Bianco Hills Blue Coins 1-10
98,Colline Bianco Pièces Bleues 11-20,Bianco Hills Blue Coins 11-20
99,Colline Bianco Pièces Bleues 21-30,Bianco Hills Blue Coins 21-30
100,Port Ricco Pièces Bleues 1-10,Ricco Harbor Blue Coins 1-10
101,Port Ricco Pièces Bleues 11-20,Ricco Harbor Blue Coins 11-20
102,Port Ricco Pièces Bleues 21-30,Ricco Harbor Blue Coins 21-30
103,Plage Gelato Pièces Bleues 1-10,Gelato Beach Blue Coins 1-10
104,Plage Gelato Pièces Bleues 11-20,Gelato Beach Blue Coins 11-20
105,Plage Gelato Pièces Bleues 21-30,Gelato Beach Blue Coins 21-30
106,Parc Pinna Pièces Bleues 1-10,Pinna Park Blue Coins 1-10
107,Parc Pinna Pièces Bleues 11-20,Pinna Park Blue Coins 11-20
108,Parc Pinna Pièces Bleues 21-30,Pinna Park Blue Coins 21-30
109,Plage Sirena Pièces Bleues 1-10,Sirena Beach Blue Coins 1-10
110,Plage Sirena Pièces Bleues 11-20,Sirena Beach Blue Coins 11-20
111,Plage Sirena Pièces Bleues 21-30,Sirena Beach Blue Coins 21-30
112,Baie Noki Pièces Bleues 1-10,Noki Bay Blue Coins 1-10
113,Baie Noki Pièces Bleues 11-20,Noki Bay Blue Coins 11-20
114,Baie Noki Pièces Bleues 21-30,Noki Bay Blue Coins 21-30
115,Village Pianta Pièces Bleues 1-10,Pianta Village Blue Coins 1-10
116,Village Pianta Pièces Bleues 11-20,Pianta Village Blue Coins 11-20
117,Village Pianta Pièces Bleues 21-30,Pianta Village Blue Coins 21-30
118,Place Delfino Pièces Bleues 1-10,Delfino Plaza Blue Coins 1-10
119,Place Delfino Pièces Bleues 11-20,Delfino Plaza Blue Coins 11-20
120,Mont Corona Pièces Bleues 1-10,Corona Mountain Blue Coins 1-10
