id,name_fr,name_en,path_key,type
ClothesJarlGloves,Protge-poignets dors,Gilded Wristguards,[00] Skyrim.esm/[21] Armor/[1032] ClothesJarlGloves [ARMO-000E84C1],ARMO
CWMission07EvidenceMarkarth,Amulette de Talos grave de Raerek,Raerek's Inscribed Amulet of Talos,[00] Skyrim.esm/[21] Armor/[1033] CWMission07EvidenceMarkarth [ARMO-000E0BA2],ARMO
FreeformCaravansANecklace,Amulette de la lune,Moon Amulet,[00] Skyrim.esm/[21] Armor/[1034] FreeformCaravansANecklace [ARMO-000D9394],ARMO
FavorKerahRing,Anneau de Calcelmo,Calcelmo's Ring,[00] Skyrim.esm/[21] Armor/[1035] FavorKerahRing [ARMO-000D8482],ARMO
POIMageIlasTeisRing,Anneau d'Ilas-Tei,Ilas-Tei's Ring,[00] Skyrim.esm/[21] Armor/[1036] POIMageIlasTeisRing [ARMO-000D5047],ARMO
POIMageYisrasNecklace,Collier d'Yisra,Yisra's Necklace,[00] Skyrim.esm/[21] Armor/[1037] POIMageYisrasNecklace [ARMO-000D4FF7],ARMO
ArmorThievesGuildHelmetPlayerImproved,Capuchon de la Guilde des voleurs,Thieves Guild Hood,[00] Skyrim.esm/[21] Armor/[1038] ArmorThievesGuildHelmetPlayerImproved [ARMO-000D3ACE],ARMO
ArmorThievesGuildGauntletsPlayerImproved,Gants de la Guilde des voleurs,Thieves Guild Gloves,[00] Skyrim.esm/[21] Armor/[1039] ArmorThievesGuildGauntletsPlayerImproved [ARMO-000D3ACD],ARMO
EnchArmorDaedricBootsStamina05,Bottes daedras de vigueur extrme,Daedric Boots of Extreme Stamina,[00] Skyrim.esm/[21] Armor/[103] EnchArmorDaedricBootsStamina05 [ARMO-0010DF78],ARMO
ArmorThievesGuildCuirassPlayerImproved,Armure de la Guilde des voleurs,Thieves Guild Armor,[00] Skyrim.esm/[21] Armor/[1040] ArmorThievesGuildCuirassPlayerImproved [ARMO-000D3ACC],ARMO
ArmorThievesGuildBootsPlayerImproved,Bottes de la Guilde des voleurs,Thieves Guild Boots,[00] Skyrim.esm/[21] Armor/[1041] ArmorThievesGuildBootsPlayerImproved [ARMO-000D3ACB],ARMO
ArmorThievesGuildHelmetPlayer,Capuchon de la Guilde des voleurs,Thieves Guild Hood,[00] Skyrim.esm/[21] Armor/[1042] ArmorThievesGuildHelmetPlayer [ARMO-000D3AC5],ARMO
ArmorThievesGuildGauntletsPlayer,Gants de la Guilde des voleurs,Thieves Guild Gloves,[00] Skyrim.esm/[21] Armor/[1043] ArmorThievesGuildGauntletsPlayer [ARMO-000D3AC4],ARMO
ArmorThievesGuildCuirassPlayer,Armure de la Guilde des voleurs,Thieves Guild Armor,[00] Skyrim.esm/[21] Armor/[1044] ArmorThievesGuildCuirassPlayer [ARMO-000D3AC3],ARMO
ArmorThievesGuildBootsPlayer,Bottes de la Guilde des voleurs,Thieves Guild Boots,[00] Skyrim.esm/[21] Armor/[1045] ArmorThievesGuildBootsPlayer [ARMO-000D3AC2],ARMO
ArmorGuardHelmetFullHaafingar,Casque de garde de Solitude,Solitude Guard's Helmet,[00] Skyrim.esm/[21] Armor/[1046] ArmorGuardHelmetFullHaafingar [ARMO-000C7F5C],ARMO
ArmorGuardCuirassSolitude,Armure de garde de Solitude,Solitude Guard's Armor,[00] Skyrim.esm/[21] Armor/[1047] ArmorGuardCuirassSolitude [ARMO-000C7F5B],ARMO
WERJ06JewelryNecklaceGold,Collier ensorcell,Charmed Necklace,[00] Skyrim.esm/[21] Armor/[1048] WERJ06JewelryNecklaceGold [ARMO-000C72E8],ARMO
FavorOrcsGauntlets,Les mains du forgeron,The Forgemaster's Fingers,[00] Skyrim.esm/[21] Armor/[1049] FavorOrcsGauntlets [ARMO-000C3CE6],ARMO
EnchArmorDaedricBootsStamina04,Bottes daedras de vigueur majeure,Daedric Boots of Eminent Stamina,[00] Skyrim.esm/[21] Armor/[104] EnchArmorDaedricBootsStamina04 [ARMO-0010DF77],ARMO
FavorShahveeSymbol,Amulette de Znithar de Shahvee,Shahvee's Amulet of Zenithar,[00] Skyrim.esm/[21] Armor/[1050] FavorShahveeSymbol [ARMO-000BFA0A],ARMO
ArmorFalmerGauntlets,Gantelets falmers,Falmer Gauntlets,[00] Skyrim.esm/[21] Armor/[1051] ArmorFalmerGauntlets [ARMO-000B83CF],ARMO
ArmorFalmerBoots,Bottes falmers,Falmer Boots,[00] Skyrim.esm/[21] Armor/[1052] ArmorFalmerBoots [ARMO-000B83CD],ARMO
ArmorFalmerCuirass,Armure falmer,Falmer Armor,[00] Skyrim.esm/[21] Armor/[1053] ArmorFalmerCuirass [ARMO-000B83CB],ARMO
SkinMagicAnomaly,,,[00] Skyrim.esm/[21] Armor/[1054] SkinMagicAnomaly [ARMO-000B6FA0],ARMO
ClothesMythicDawnBoots,Bottes de l'Aube mythique,Mythic Dawn Boots,[00] Skyrim.esm/[21] Armor/[1055] ClothesMythicDawnBoots [ARMO-000B1460],ARMO
ClothesMythicDawnGloves,Gants de l'Aube mythique,Mythic Dawn Gloves,[00] Skyrim.esm/[21] Armor/[1056] ClothesMythicDawnGloves [ARMO-000B145B],ARMO
ClothesMythicDawnRobes,Robe de l'Aube mythique,Mythic Dawn Robes,[00] Skyrim.esm/[21] Armor/[1057] ClothesMythicDawnRobes [ARMO-000B144D],ARMO
SkinChicken,Poulet,Chicken,[00] Skyrim.esm/[21] Armor/[1058] SkinChicken [ARMO-000A919C],ARMO
ArmorAfflicted,,,[00] Skyrim.esm/[21] Armor/[1059] ArmorAfflicted [ARMO-00097A43],ARMO
EnchArmorGlassBootsSneak05,Bottes de verre de furtivit extrme,Glass Boots of Extreme Sneaking,[00] Skyrim.esm/[21] Armor/[105] EnchArmorGlassBootsSneak05 [ARMO-0010DF76],ARMO
FavorHelmofWinterhold,Heaume de Fortdhiver,Helm of Winterhold,[00] Skyrim.esm/[21] Armor/[1060] FavorHelmofWinterhold [ARMO-000940D5],ARMO
DrarvenSpiderSkinnedSteamArmor,,,[00] Skyrim.esm/[21] Armor/[1061] DrarvenSpiderSkinnedSteamArmor [ARMO-00093A61],ARMO
FavorRoggiShield,Bouclier ancestral de Roggi,Roggi's Ancestral Shield,[00] Skyrim.esm/[21] Armor/[1062] FavorRoggiShield [ARMO-0006901D],ARMO
ArmorCompanionsHelmet,Casque du loup,Wolf Helmet,[00] Skyrim.esm/[21] Armor/[1063] ArmorCompanionsHelmet [ARMO-0004C3D0],ARMO
ArmorFAlmerHelmet,Casque falmer,Falmer Helmet,[00] Skyrim.esm/[21] Armor/[1064] ArmorFAlmerHelmet [ARMO-0004C3CB],ARMO
HorseSaddleImperial,,,[00] Skyrim.esm/[21] Armor/[1065] HorseSaddleImperial [ARMO-00040975],ARMO
ClothesCirclet10,Couronne de cuivre orne d'un rubis,Copper and Ruby Circlet,[00] Skyrim.esm/[21] Armor/[1066] ClothesCirclet10 [ARMO-00016731],ARMO
ClothesCirclet09,Couronne de cuivre orne d'une pierre de lune,Copper and Moonstone Circlet,[00] Skyrim.esm/[21] Armor/[1067] ClothesCirclet09 [ARMO-00016730],ARMO
ClothesCirclet08,Couronne d'or orne d'une meraude,Gold and Emerald Circlet,[00] Skyrim.esm/[21] Armor/[1068] ClothesCirclet08 [ARMO-0001672F],ARMO
ClothesCirclet07,Couronne de jade orne d'un saphir,Jade and Sapphire Circlet,[00] Skyrim.esm/[21] Armor/[1069] ClothesCirclet07 [ARMO-0001671A],ARMO
EnchArmorGlassBootsSneak04,Bottes de verre de furtivit majeure,Glass Boots of Eminent Sneaking,[00] Skyrim.esm/[21] Armor/[106] EnchArmorGlassBootsSneak04 [ARMO-0010DF75],ARMO
ClothesCirclet06,Couronne d'argent orne d'un saphir,Silver and Sapphire Circlet,[00] Skyrim.esm/[21] Armor/[1070] ClothesCirclet06 [ARMO-00016719],ARMO
ClothesCirclet05,Couronne de cuivre orne d'un onyx,Copper and Onyx Circlet,[00] Skyrim.esm/[21] Armor/[1071] ClothesCirclet05 [ARMO-000166FF],ARMO
ClothesCirclet04,Couronne de cuivre orne d'un saphir,Copper and Sapphire Circlet,[00] Skyrim.esm/[21] Armor/[1072] ClothesCirclet04 [ARMO-000166FE],ARMO
ClothesCirclet03,Couronne d'or orne d'un rubis,Gold and Ruby Circlet,[00] Skyrim.esm/[21] Armor/[1073] ClothesCirclet03 [ARMO-000166FD],ARMO
ClothesCirclet02,Couronne d'argent orne d'une pierre de lune,Silver and Moonstone Circlet,[00] Skyrim.esm/[21] Armor/[1074] ClothesCirclet02 [ARMO-000166E0],ARMO
ClothesCirclet01,Couronne de jade orne d'une meraude,Jade and Emerald Circlet,[00] Skyrim.esm/[21] Armor/[1075] ClothesCirclet01 [ARMO-000166D6],ARMO
FavorFridaRing,Anneau de pures mixtures,Ring of Pure Mixtures,[00] Skyrim.esm/[21] Armor/[1076] FavorFridaRing [ARMO-00090E32],ARMO
SkinHorseBlacknWhiteHide,,,[00] Skyrim.esm/[21] Armor/[1077] SkinHorseBlacknWhiteHide [ARMO-00086510],ARMO
SkinHorseGreyHide,,,[00] Skyrim.esm/[21] Armor/[1078] SkinHorseGreyHide [ARMO-0008650F],ARMO
SkinHorsePalominoHide,,,[00] Skyrim.esm/[21] Armor/[1079] SkinHorsePalominoHide [ARMO-0008650E],ARMO
EnchArmorGlassBootsSneak03,Bottes de verre de vigueur accrue,Glass Boots of Major Sneaking,[00] Skyrim.esm/[21] Armor/[107] EnchArmorGlassBootsSneak03 [ARMO-0010DF74],ARMO
SkinHorseBlackHide,,,[00] Skyrim.esm/[21] Armor/[1080] SkinHorseBlackHide [ARMO-0008650D],ARMO
SkinHorseShadowmere,,,[00] Skyrim.esm/[21] Armor/[1081] SkinHorseShadowmere [ARMO-00086503],ARMO
SkinFoxArctic,,,[00] Skyrim.esm/[21] Armor/[1082] SkinFoxArctic [ARMO-000829B7],ARMO
SkinFox,,,[00] Skyrim.esm/[21] Armor/[1083] SkinFox [ARMO-000829B4],ARMO
ArmorAstrid,Armure de Parjure,Forsworn Armor,[00] Skyrim.esm/[21] Armor/[1084] ArmorAstrid [ARMO-0007EAF1],ARMO
DA09MeridiaBallofLightArmor,,,[00] Skyrim.esm/[21] Armor/[1085] DA09MeridiaBallofLightArmor [ARMO-00079BE4],ARMO
ClothesMerchantClothesVariant,Vtements,Clothes,[00] Skyrim.esm/[21] Armor/[1086] ClothesMerchantClothesVariant [ARMO-0006FF45],ARMO
ClothesMinerClothesVariant,Vtements de mineur,Miner's Clothes,[00] Skyrim.esm/[21] Armor/[1087] ClothesMinerClothesVariant [ARMO-0006FF43],ARMO
ClothesBarKeeperVariant,Vtements,Clothes,[00] Skyrim.esm/[21] Armor/[1088] ClothesBarKeeperVariant [ARMO-0006FF38],ARMO
ClothesBlackSmithVariant,Tablier de forgeron,Blacksmith's Apron,[00] Skyrim.esm/[21] Armor/[1089] ClothesBlackSmithVariant [ARMO-0006FF37],ARMO
EnchArmorDragonscaleGauntletsLockpicking06,Gantelets draconiques de crochetage absolu,Dragonscale Gauntlets of Peerless Lockpicking,[00] Skyrim.esm/[21] Armor/[108] EnchArmorDragonscaleGauntletsLockpicking06 [ARMO-0010DF73],ARMO
FavorNosterHelmet,Casque de Noster,Noster's Helmet,[00] Skyrim.esm/[21] Armor/[1090] FavorNosterHelmet [ARMO-0006FE72],ARMO
ArmorBanditHelmet,Casque de fourrure,Fur Helmet,[00] Skyrim.esm/[21] Armor/[1091] ArmorBanditHelmet [ARMO-0006F39E],ARMO
ArmorBanditGauntlets,Gantelets de fourrure,Fur Bracers,[00] Skyrim.esm/[21] Armor/[1092] ArmorBanditGauntlets [ARMO-0006F39B],ARMO
ArmorBanditBoots,Chaussures de fourrure,Fur Shoes,[00] Skyrim.esm/[21] Armor/[1093] ArmorBanditBoots [ARMO-0006F398],ARMO
ArmorBanditCuirass,Armure de fourrure,Fur Armor,[00] Skyrim.esm/[21] Armor/[1094] ArmorBanditCuirass [ARMO-0006F393],ARMO
SkinHare,Lapin,Rabbit,[00] Skyrim.esm/[21] Armor/[1095] SkinHare [ARMO-0006DC9B],ARMO
ClothesFarmClothesVariant03,Vtements,Clothes,[00] Skyrim.esm/[21] Armor/[1096] ClothesFarmClothesVariant03 [ARMO-0006C1DA],ARMO
ClothesFarmClothesVariant02,Vtements,Clothes,[00] Skyrim.esm/[21] Armor/[1097] ClothesFarmClothesVariant02 [ARMO-0006C1D9],ARMO
ClothesFarmClothesVariant04,Vtements,Clothes,[00] Skyrim.esm/[21] Armor/[1098] ClothesFarmClothesVariant04 [ARMO-0006C1D8],ARMO
FavorIgmundShield,Bouclier de Hrolfdir,Hrolfdir's Shield,[00] Skyrim.esm/[21] Armor/[1099] FavorIgmundShield [ARMO-00064B71],ARMO
EnchArmorDragonscaleGauntletsLockpicking05,Gantelets draconiques de crochetage extrme,Dragonscale Gauntlets of Extreme Lockpicking,[00] Skyrim.esm/[21] Armor/[109] EnchArmorDragonscaleGauntletsLockpicking05 [ARMO-0010DF72],ARMO
MS06ShieldL25,Bouclier de Solitude,Shield of Solitude,[00] Skyrim.esm/[21] Armor/[10] MS06ShieldL25 [ARMO-0010EB64],ARMO
DBClothesJesterHatCicero,Chapeau de Cicron,Cicero's Hat,[00] Skyrim.esm/[21] Armor/[1100] DBClothesJesterHatCicero [ARMO-0006492E],ARMO
DBClothesJesterGlovesCicero,Gants de Cicron,Cicero's Gloves,[00] Skyrim.esm/[21] Armor/[1101] DBClothesJesterGlovesCicero [ARMO-0006492D],ARMO
DBClothesJesterCicero,Vtements de Cicron,Cicero's Clothes,[00] Skyrim.esm/[21] Armor/[1102] DBClothesJesterCicero [ARMO-0006492C],ARMO
DBClothesJesterBootsCicero,Bottes de Cicron,Cicero's Boots,[00] Skyrim.esm/[21] Armor/[1103] DBClothesJesterBootsCicero [ARMO-0006492A],ARMO
MarkarthFreeformTalosAmulet,Amulette de Talos d'Ogmund,Ogmund's Amulet of Talos,[00] Skyrim.esm/[21] Armor/[1104] MarkarthFreeformTalosAmulet [ARMO-00064796],ARMO
ClothesMournerHat,Chapeau de deuil,Mourner's Hat,[00] Skyrim.esm/[21] Armor/[1105] ClothesMournerHat [ARMO-000646AB],ARMO
ClothesMournersClothes,Vtements de deuil,Mourner's Clothes,[00] Skyrim.esm/[21] Armor/[1106] ClothesMournersClothes [ARMO-000646A7],ARMO
ClothesUlfricBoots,Bottes d'Ulfric,Ulfric's Boots,[00] Skyrim.esm/[21] Armor/[1107] ClothesUlfricBoots [ARMO-00062311],ARMO
ClothesUlfricGauntlets,Gantelets d'Ulfric,Ulfric's Bracers,[00] Skyrim.esm/[21] Armor/[1108] ClothesUlfricGauntlets [ARMO-0006230B],ARMO
ClothesUlfric,Vtements d'Ulfric,Ulfric's Clothes,[00] Skyrim.esm/[21] Armor/[1109] ClothesUlfric [ARMO-00062303],ARMO
EnchArmorDragonscaleGauntletsLockpicking04,Gantelets draconiques de crochetage majeur,Dragonscale Gauntlets of Eminent Lockpicking,[00] Skyrim.esm/[21] Armor/[110] EnchArmorDragonscaleGauntletsLockpicking04 [ARMO-0010DF71],ARMO
ArmorDragonPriestMaskUltraHelmet,Konahrik,Konahrik,[00] Skyrim.esm/[21] Armor/[1110] ArmorDragonPriestMaskUltraHelmet [ARMO-00061CD6],ARMO
ArmorDragonPriestMaskWoodHelmet,Masque en bois,Wooden Mask,[00] Skyrim.esm/[21] Armor/[1111] ArmorDragonPriestMaskWoodHelmet [ARMO-00061CCA],ARMO
ArmorDragonPriestMaskSteelHelmet,Vokun,Vokun,[00] Skyrim.esm/[21] Armor/[1112] ArmorDragonPriestMaskSteelHelmet [ARMO-00061CC9],ARMO
ArmorDragonPriestMaskMarbleHelmet,Otar,Otar,[00] Skyrim.esm/[21] Armor/[1113] ArmorDragonPriestMaskMarbleHelmet [ARMO-00061CC2],ARMO
ArmorDragonPriestMaskIronHelmet,Hevnoraak,Hevnoraak,[00] Skyrim.esm/[21] Armor/[1114] ArmorDragonPriestMaskIronHelmet [ARMO-00061CC1],ARMO
ArmorDragonPriestMaskOrichalumHelmet,Rahgot,Rahgot,[00] Skyrim.esm/[21] Armor/[1115] ArmorDragonPriestMaskOrichalumHelmet [ARMO-00061CC0],ARMO
ArmorDragonPriestMaskBronzeHelmet,Krosis,Krosis,[00] Skyrim.esm/[21] Armor/[1116] ArmorDragonPriestMaskBronzeHelmet [ARMO-00061CB9],ARMO
ArmorDragonPriestMaskCorondrumHelmet,Volsung,Volsung,[00] Skyrim.esm/[21] Armor/[1117] ArmorDragonPriestMaskCorondrumHelmet [ARMO-00061CAB],ARMO
ArmorDragonPriestMaskEbonyHelmet,Nahkriin,Nahkriin,[00] Skyrim.esm/[21] Armor/[1118] ArmorDragonPriestMaskEbonyHelmet [ARMO-00061CA5],ARMO
ArmorDragonPriestMaskMoonstoneHelmet,Morokei,Morokei,[00] Skyrim.esm/[21] Armor/[1119] ArmorDragonPriestMaskMoonstoneHelmet [ARMO-00061C8B],ARMO
EnchArmorDragonscaleGauntletsPickpocket06,Gantelets draconiques de dextrit absolue,Dragonscale Gauntlets of Peerless Deft Hands,[00] Skyrim.esm/[21] Armor/[111] EnchArmorDragonscaleGauntletsPickpocket06 [ARMO-0010DF70],ARMO
ArmorBriarHeartEmpty,Armure de Parjure,Forsworn Armor,[00] Skyrim.esm/[21] Armor/[1120] ArmorBriarHeartEmpty [ARMO-0005D009],ARMO
ArmorBriarHeart,,,[00] Skyrim.esm/[21] Armor/[1121] ArmorBriarHeart [ARMO-0005D008],ARMO
DBArmorHelmetMaskLess,Coule sibylline ouverte,Shrouded Cowl Maskless,[00] Skyrim.esm/[21] Armor/[1122] DBArmorHelmetMaskLess [ARMO-0005ABC4],ARMO
DBArmorShortSleeve,Armure sibylline,Shrouded Armor,[00] Skyrim.esm/[21] Armor/[1123] DBArmorShortSleeve [ARMO-0005ABC3],ARMO
ExecutionHoodDB,Capuchon d'excution,Execution Hood,[00] Skyrim.esm/[21] Armor/[1124] ExecutionHoodDB [ARMO-0005A9E3],ARMO
ExecutionHood,Capuchon d'excution,Execution Hood,[00] Skyrim.esm/[21] Armor/[1125] ExecutionHood [ARMO-0005A9DF],ARMO
MQTorturerHood,Capuchon en cuir,Leather Hood,[00] Skyrim.esm/[21] Armor/[1126] MQTorturerHood [ARMO-00047CBE],ARMO
EnchArmorScaledHelmetWaterbreathing,Casque d'cailles de respiration aquatique,Scaled Helmet of Waterbreathing,[00] Skyrim.esm/[21] Armor/[1127] EnchArmorScaledHelmetWaterbreathing [ARMO-00046DF0],ARMO
EnchArmorScaledHelmetRestoration04,Casque d'cailles de gurison majeure,Scaled Helmet of Eminent Restoration,[00] Skyrim.esm/[21] Armor/[1128] EnchArmorScaledHelmetRestoration04 [ARMO-00046DEF],ARMO
EnchArmorScaledHelmetRestoration03,Casque d'cailles de gurison accrue,Scaled Helmet of Major Restoration,[00] Skyrim.esm/[21] Armor/[1129] EnchArmorScaledHelmetRestoration03 [ARMO-00046DEE],ARMO
EnchArmorDragonscaleGauntletsPickpocket05,Gantelets draconiques de dextrit extrme,Dragonscale Gauntlets of Extreme Deft Hands,[00] Skyrim.esm/[21] Armor/[112] EnchArmorDragonscaleGauntletsPickpocket05 [ARMO-0010DF6F],ARMO
EnchArmorScaledHelmetRestoration02,Casque d'cailles de gurison,Scaled Helmet of Restoration,[00] Skyrim.esm/[21] Armor/[1130] EnchArmorScaledHelmetRestoration02 [ARMO-00046DED],ARMO
EnchArmorScaledHelmetMarksman04,Casque d'cailles d'archerie majeure,Scaled Helmet of Eminent Archery,[00] Skyrim.esm/[21] Armor/[1131] EnchArmorScaledHelmetMarksman04 [ARMO-00046DE2],ARMO
EnchArmorScaledHelmetMarksman03,Casque d'cailles d'archerie accrue,Scaled Helmet of Major Archery,[00] Skyrim.esm/[21] Armor/[1132] EnchArmorScaledHelmetMarksman03 [ARMO-00046DD9],ARMO
EnchArmorScaledHelmetMarksman02,Casque d'cailles d'archerie,Scaled Helmet of Archery,[00] Skyrim.esm/[21] Armor/[1133] EnchArmorScaledHelmetMarksman02 [ARMO-00046DD3],ARMO
EnchArmorScaledHelmetMagicka04,Casque d'cailles de magie majeure,Scaled Helmet of Eminent Magicka,[00] Skyrim.esm/[21] Armor/[1134] EnchArmorScaledHelmetMagicka04 [ARMO-00046DCB],ARMO
EnchArmorScaledHelmetMagicka03,Casque d'cailles de magie accrue,Scaled Helmet of Major Magicka,[00] Skyrim.esm/[21] Armor/[1135] EnchArmorScaledHelmetMagicka03 [ARMO-00046DCA],ARMO
EnchArmorScaledHelmetMagicka02,Casque d'cailles de magie,Scaled Helmet of Magicka,[00] Skyrim.esm/[21] Armor/[1136] EnchArmorScaledHelmetMagicka02 [ARMO-00046DC7],ARMO
EnchArmorScaledHelmetIllusion04,Casque d'cailles d'illusion majeure,Scaled Helmet of Eminent Illusion,[00] Skyrim.esm/[21] Armor/[1137] EnchArmorScaledHelmetIllusion04 [ARMO-00046DC4],ARMO
EnchArmorScaledHelmetIllusion03,Casque d'cailles d'illusion accrue,Scaled Helmet of Major Illusion,[00] Skyrim.esm/[21] Armor/[1138] EnchArmorScaledHelmetIllusion03 [ARMO-00046DC3],ARMO
EnchArmorScaledHelmetIllusion02,Casque d'cailles d'illusion,Scaled Helmet of Illusion,[00] Skyrim.esm/[21] Armor/[1139] EnchArmorScaledHelmetIllusion02 [ARMO-00046DC2],ARMO
EnchArmorDragonscaleGauntletsPickpocket04,Gantelets draconiques de dextrit majeure,Dragonscale Gauntlets of Eminent Deft Hands,[00] Skyrim.esm/[21] Armor/[113] EnchArmorDragonscaleGauntletsPickpocket04 [ARMO-0010DF6E],ARMO
EnchArmorScaledHelmetDestruction04,Casque d'cailles de destruction majeure,Scaled Helmet of Eminent Destruction,[00] Skyrim.esm/[21] Armor/[1140] EnchArmorScaledHelmetDestruction04 [ARMO-00046DB5],ARMO
